id,case_id,tag_id
34861,630,23
30028,66,65
30029,66,55
33904,848,19
33905,848,55
33906,848,65
34003,420,65
29256,1119,18
34004,420,39
34005,420,46
34007,420,27
29257,1119,43
29258,1119,20
30030,66,24
30031,66,28
34119,163,64
29418,1102,38
29419,1102,45
29420,1102,46
34121,163,2
30106,1054,32
30107,1054,64
30108,1054,18
34124,163,10
34863,630,18
34864,630,19
34214,795,19
34216,795,18
34217,795,27
31275,683,2
31276,683,65
31277,683,9
34218,795,12
34325,689,2
34326,689,59
34327,689,65
34865,630,55
31278,683,55
31279,683,59
31342,1030,64
34977,570,64
29641,454,2
29642,454,18
29643,454,28
29644,454,42
30109,1054,19
30110,1054,23
34979,570,42
34980,570,43
34981,570,44
34982,570,20
35078,939,64
35080,939,18
29767,172,2
31344,1030,46
31345,1030,18
31346,1030,20
29768,172,65
31347,1030,56
28797,364,8
28798,364,13
28799,364,40
28800,364,55
29769,172,9
29770,172,55
29771,172,28
31465,1003,30
31514,991,24
31515,991,2
31566,691,32
28801,364,27
28857,95,64
28858,95,2
28859,95,3
28860,95,55
28920,219,2
28921,219,3
28922,219,4
28923,219,9
28924,219,55
28925,219,59
28979,256,4
28980,256,9
28981,256,55
29018,276,32
29021,276,40
29022,276,46
29023,276,56
29941,463,23
29942,463,13
29943,463,18
31739,725,43
31740,725,59
30952,603,56
29944,463,19
29945,463,55
34445,1004,40
30953,603,10
30954,603,4
30955,603,18
31813,746,65
32717,920,24
31815,746,18
31816,746,50
32720,920,4
31817,746,19
31818,746,20
32827,928,64
31045,631,64
32828,928,2
32829,928,42
32830,928,13
31047,631,8
31048,631,43
31875,961,42
31876,961,65
31921,978,65
34447,1004,19
34448,1004,55
34548,941,32
31922,978,2
32914,615,64
31989,945,2
32916,615,65
32917,615,10
32918,615,43
31049,631,13
31050,631,23
33020,896,32
33021,896,64
33022,896,18
33023,896,23
33234,30,56
34550,941,55
34551,941,65
33688,751,2
34675,764,39
34676,764,65
31990,945,9
33689,751,46
33798,819,4
33799,819,65
33800,819,13
33801,819,55
33802,819,28
33907,849,32
16363,53,32
16365,53,43
16367,53,56
31991,945,13
29110,234,2
29111,234,59
29112,234,55
29191,1131,32
29192,1131,10
29193,1131,18
29194,1131,38
